GameObject{(0,000000, 0,000000, 0,000000)}
MapTile{(23,000000, 15,000000, 0,000000), 0, 0}
MapTile{(21,000000, 13,000000, 0,000000), 0, 0}
MapTile{(22,000000, 11,000000, 0,000000), 0, 0}
MapTile{(23,000000, 13,000000, 0,000000), 0, 0}
MapTile{(24,000000, 13,000000, 0,000000), 0, 0}
MapTile{(25,000000, 15,000000, 0,000000), 0, 0}
MapTile{(24,000000, 15,000000, 1,000000), 0, 0}
MapTile{(24,000000, 16,000000, 1,000000), 0, 0}
MapTile{(25,000000, 16,000000, 1,000000), 0, 0}
MapTile{(25,000000, 17,000000, 1,000000), 0, 0}
MapTile{(24,000000, 17,000000, 1,000000), 0, 0}
MapTile{(23,000000, 17,000000, 2,000000), 0, 0}
MapTile{(23,000000, 18,000000, 2,000000), 0, 0}
MapTile{(24,000000, 18,000000, 2,000000), 0, 0}
MapTile{(24,000000, 14,000000, 0,000000), 0, 0}
MapTile{(23,000000, 14,000000, -1,000000), 0, 0}
MapTile{(23,000000, 15,000000, -1,000000), 0, 0}
MapTile{(25,000000, 15,000000, -1,000000), 0, 1}
MapTile{(25,000000, 16,000000, -1,000000), 0, 1}
